"assetType","slNo","customer","partName","partNo","revision","manufactureNo","manufactureYear","category","pressTonnage","mechNo","toolingLife","speed","model","cavityNo","incomingDate","location","size","weightKg","materialModel","thickness","materialWidthStep","ppepNo","blankingGap","designer","platingSupplier","productionFlowChart","firstSubmissionDate","designChangeDate","status","productPosition"
"Tooling","55","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPR CUP","SB-059C-2","","23-TRE017-2","2024","Single Tooling","260T","10#","","30","Single Tooling（1 Cav.）","NO","","","","","","","","","","LANK","","Stamping---Packaging","","","Use","THAI"
"Tooling","56","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPR CUP","SB-059C-2","","23-TRE017-3","2024","Single Tooling","260T","10#","","30","Single Tooling（1 Cav.）","NO","","","","","","","","","","ZHangXN","","Stamping---Packaging","","","Use","THAI"
"Tooling","57","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPR CUP","SB-059C-2","","23-TRE017-4","2024","Single Tooling","110T","9#","","30","Single Tooling（1 Cav.）","NO","","F1/Stamping","","350","SAPH440","","","","","RENLQ","","","13-02-2024","","Use","THAI"
"Tooling","58","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","Diaphragm Outer","SB-064D-1","","23-TER010","2024","Progressive Tooling","500T","8#","","25","Progressive Tooling / （1 Cav.）","NO","","","","","SPCD","1.6","176*172","","Unilateral / 0.15mm","RENLQ","","Stamping---sorting 100%---Packaging---Finished Product","13-02-2024","","Use","THAI"
"Tooling","59","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","Orifice Plate","SB-062C-2","","23-TER019","2024","Progressive Tooling","300T","7#","","30","Progressive Tooling / （1 Cav.）","NO","","","","","SPCC-SD","1.2","98*95","","Unilateral / 0.11mm","SHAOHS","","Stamping---sorting 100%---Packaging---Finished Product","13-02-2024","","Use","THAI"
"Tooling","60","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","BRACKET","SB-068C-1-1","","23-TER011-1","2024","Progressive Tooling","500T","8#","","25","Progressive Tooling / （1 Cav.）","NO","","","","","SAPH440","5.0","260*104","","Unilateral / 0.6mm","YANGRJ","","Stamping---Packaging","","","Use","THAI"
"Tooling","61","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","BRACKET","SB-068C-1-1","","23-TER011-2","2024","Single Tooling","260T","10#","","30","Single Tooling（1 Cav.）","NO","","F1/Store Tool","","300","SAPH440","","","","Unilateral / 0.6mm","ZHANGMY","","Stamping---Packaging","","","Use","THAI"
"Tooling","62","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPPER BASE","SB-068C-1-2","","23-TER012","2024","Progressive Tooling","500T","8#","","25","Progressive Tooling / （1 Cav.）","NO","","","","","SAPH440","4.0","167*225","","Unilateral / 0.48mm","LANK","","Stamping---Packaging","","","Use","THAI"
"Tooling","63","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPPER RING","SB-068A-1-3","","23-TER013","2024","Progressive Tooling","300T","7#","","30","Progressive Tooling / （1 Cav.）","NO","","","","","SAPH440","4.0","233*25","","Unilateral / 0.45mm","SHAOHS","","Stamping---Packaging","","","Use","THAI"
"Tooling","64","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","PASSIVE BRACKET","SB-068C-2","","","2024","Die casting","","1#","","","Die casting（1 Cav.）","","","","","","","","","","","","","","15-02-2024","","Use","THAI"
