"no","partNumber","toolNumber","dwNumber","nameEn","specifications","material","quantityInStock","picture","minInventory","maxInventory"
"124","1185900/1100777","Q25JS029","78","Lower mold insert","81.60x77.60x15.00","Cr12MoV","1","spare-part-images/124-1185900-1100777-78.png","1","2"
"125","1185900/1100777","Q25JS029","79","Punching punch","109.00x79.07x87.50","Cr12MoV","1","spare-part-images/125-1185900-1100777-79.png","1","2"
"126","1185900/1100777","Q25JS029","80","Lower mold insert","129.00x95.00x30.00","Cr12MoV","1","spare-part-images/126-1185900-1100777-80.png","1","2"
"127","1185900/1100777","Q25JS029","81","Punching punch","109.00x106.83x86.50","Cr12MoV","1","spare-part-images/127-1185900-1100777-81.png","1","2"
"128","1185900/1100777","Q25JS029","82","Lower mold insert","129.00x123.00x30.00","Cr12MoV","1","spare-part-images/128-1185900-1100777-82.png","1","2"
"129","1185900/1100777","Q25JS029","83","Forming punch","103.50x37.90x94.80","Cr12MoV","1","spare-part-images/129-1185900-1100777-83.png","1","2"
"130","1185900/1100777","Q25JS029","93","Forming punch","88.50x37.90x94.80","Cr12MoV","1","spare-part-images/130-1185900-1100777-93.png","1","2"
"131","1185900/1100777","Q25JS029","98","Forming punch","80.00x35.00x140.20","Cr12MoV","1","spare-part-images/131-1185900-1100777-98.png","1","2"
"132","1185900/1100777","Q25JS029","105","Forming punch","92.00x35.00x140.00","Cr12MoV","1","spare-part-images/132-1185900-1100777-105.png","1","2"
"133","1185900/1100777","Q25JS029","108","Forming punch","75.00x72.00x96.00","Cr12MoV","1","spare-part-images/133-1185900-1100777-108.png","1","2"
"134","1185900/1100777","Q25JS029","109","Forming punch","102.00x72.00x96.00","Cr12MoV","1","spare-part-images/134-1185900-1100777-109.png","1","2"
"135","1185900/1100777","Q25JS029","111","Lower mold insert","122.00x31.80x49.00","Cr12MoV","1","spare-part-images/135-1185900-1100777-111.png","1","2"
"136","1185900/1100777","Q25JS029","112","Lower mold insert","106.00x28.78x79.00","Cr12MoV","1","spare-part-images/136-1185900-1100777-112.png","1","2"
"137","1185900/1100777","Q25JS029","113","Lower mold insert","122.00x31.80x49.00","Cr12MoV","1","spare-part-images/137-1185900-1100777-113.png","1","2"
"138","1185900/1100777","Q25JS029","114","Lower mold insert","181.50x57.02x17.00","45#","1","spare-part-images/138-1185900-1100777-114.png","1","2"
"139","1185900/1100777","Q25JS029","119","Lower mold insert","109.00x31.60x49.00","Cr12MoV","1","spare-part-images/139-1185900-1100777-119.png","1","2"
"140","1185900/1100777","Q25JS029","120","Lower mold insert","98.00x28.23x79.00","Cr12MoV","1","spare-part-images/140-1185900-1100777-120.png","1","2"
"141","1185900/1100777","Q25JS029","121","Lower mold insert","109.00x31.60x49.00","Cr12MoV","1","spare-part-images/141-1185900-1100777-121.png","1","2"
"142","1185900/1100777","Q25JS029","137","Lower mold insert","Ø20.0x16.80","45#","1","spare-part-images/142-1185900-1100777-137.png","1","2"
"143","1185900/1100777","Q25JS029","138","Lower mold insert","12.00x11.00x15.00","Cr12MoV","1","spare-part-images/143-1185900-1100777-138.png","1","2"
"144","1185900/1100777","Q25JS029","150","Forming punch","15.00x38.00x77.31","Cr12MoV","1","spare-part-images/144-1185900-1100777-150.png","1","2"
"145","1160092","Q25.JS.072","34","Lower mold insert","178.0x95.1x30.00","Cr12MoV","1","spare-part-images/145-1160092-34.png","1","2"
"146","1160092","Q25.JS.072","35","Lower mold insert","141.0x95.1x30.00","Cr12MoV","1","spare-part-images/146-1160092-35.png","1","2"
"147","1160092","Q25.JS.072","49","Lower mold insert","137.5x76.0x30.00","Cr12MoV","1","spare-part-images/147-1160092-49.png","1","2"
"148","1160092","Q25.JS.072","73","Take off block","Ø11.0x65.60","Cr12MoV","3","spare-part-images/148-1160092-73.png","1","2"
"149","1160092","Q25.JS.072","74","Take off block","Ø10.0x65.60","Cr12MoV","5","spare-part-images/149-1160092-74.png","1","2"
"150","1160092","Q25.JS.072","75","Forming punch","35.0x71.0x90.0","Cr12MoV","1","spare-part-images/150-1160092-75.png","1","2"
"151","1160092","Q25.JS.072","76","Forming punch","35.0x71.0x90.0","Cr12MoV","1","spare-part-images/151-1160092-76.png","1","2"
"152","1160092","Q25.JS.072","77","Forming punch","29.0x71.0x97.0","Cr12MoV","1","spare-part-images/152-1160092-77.png","1","2"
"153","1160092","Q25.JS.072","78","Forming punch","29.0x71.0x97.0","Cr12MoV","1","spare-part-images/153-1160092-78.png","1","2"
"154","1160092","Q25.JS.072","79","Take off block","16.85x15.20x100.90","Cr12MoV","1","spare-part-images/154-1160092-79.png","1","2"
"155","1160092","Q25.JS.072","80","Take off block","16.85x15.20x100.90","Cr12MoV","1","spare-part-images/155-1160092-80.png","1","2"
"156","1160092","Q25.JS.072","81","Lower mold insert","36.30x71.0x40.0","Cr12MoV","1","spare-part-images/156-1160092-81.png","1","2"
"157","1160092","Q25.JS.072","82","Lower mold insert","36.30x71.0x40.0","Cr12MoV","1","spare-part-images/157-1160092-82.png","1","2"
"158","1160092","Q25.JS.072","83","Lower mold insert","31.0x70.0x40.0","Cr12MoV","1","spare-part-images/158-1160092-83.png","1","2"
"159","1160092","Q25.JS.072","84","Lower mold insert","31.0x70.0x40.0","Cr12MoV","1","spare-part-images/159-1160092-84.png","1","2"
"160","1160092","Q25.JS.072","85","Lower mold insert","42.0x60.0x75.0","45#","2","spare-part-images/160-1160092-85.png","1","2"
"161","1160092","Q25.JS.072","86","Lower mold insert","43.0x60.0x43.0","Cr12MoV","2","spare-part-images/161-1160092-86.png","1","2"
